"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test Suites","0","Test Suite API","1","0","Create test suite without title","0"
"0","Authentication","0","Login","3","0","User cannot log in without required fields","0"
"0","Authentication","0","Login","2","0","User cannot log in with invalid credentials","0"
"0","Authentication","0","Login","1","0","User logs in with valid credentials","0"
"0","Projects","1","Project creation","0","0","User creates project with required fields","0"
"0","Projects","0","Project creation","1","0","User creates a project with all fields filled","0"
"0","Test Suites","0","Test Suite API","1","0","CRUD operations on test suite with all fields","0"
"0","Test Suites","0","Test Suite API","1","0","Get test suite by non-existent id","0"
"0","Projects","1","Project creation","0","0","User creates a project with group access","0"
"0","Projects","1","Project creation","0","0","User cannot create project with group access without selected group","0"
"0","Projects","0","Project API","1","0","Create project without required fields","0"
"0","Projects","1","Project creation","0","0","User cancels project creation","0"
"0","Projects","0","Project API","1","0","Create project with empty body","0"
"0","Authentication","0","Login","1","0","User can manage Remember me option","0"
"0","Test Suites","0","Test Suite API","1","0","Delete test suite with incorrect parameter 'Destination Id''","0"
"0","Projects","1","Project creation","0","0","User creates a project with public access","0"
"0","Projects","0","Project API","1","0","CRUD operations on project with all fields","0"
"0","Test Suites","0","Test Suite API","1","0","Update test suite with incorrect parameter 'Parent Id'","0"
"0","Projects","1","Project creation","0","0","User cannot create empty project","0"
"0","Projects","1","Project creation","0","0","User cannot create project without required name","0"
"0","Test Cases","0","Test Case API","1","0","CRUD operations on test case with all fields","0"
"0","Projects","0","Project API","1","0","Create project with only required fields","0"
"0","Projects","1","Project creation","0","0","User creates a project without members","0"
"0","Projects","1","Project creation","0","0","User cannot create project without required code","0"
