"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","Verifies that user can't create test suite without title","Full Tests","2026-07-25","passed","2026-07-25","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCreateTestSuiteWithoutTitle"
"","1905","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkRequiredFieldsValidation"
"","1969","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkRequiredFieldsValidation"
"","2612","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
"","1871","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkRequiredFieldsValidation"
"","5720","Verify that user can successfully log in with valid credentials","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginSuccessful"
"","44862","Verify that user can successfully create project with required fields only","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProjectWithRequiredFields"
"","7252","Verify that user can successfully create a project with all available fields","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProjectWithAllFields"
"","987","Verifies that user can: create, get, update and delete test suite","Full Tests","2026-07-25","passed","2026-07-25","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCRUDTestSuite"
"","162","Verifies that user can't get test suite by non-existent id","Full Tests","2026-07-25","passed","2026-07-25","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkGetTestSuiteByNonExistentId"
"","44753","Verify that user can create a project with group access and selected group","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProjectWithGroupAccess"
"","44533","Verify that project cannot be created when group access is selected without choosing a group","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkGroupAccessWithoutGroup"
"","167","Verifies that user can't create project without required fields","Full Tests","2026-07-25","passed","2026-07-25","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithoutRequiredFields"
"","44851","Verify that project is not created after clicking Cancel button","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkProjectIsNotCreatedAfterCancel"
"","177","Verifies that user can't create project with empty body","Full Tests","2026-07-25","passed","2026-07-25","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithEmptyBody"
"","1848","Verify that user can enable and disable Remember me checkbox","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkRememberMeCheckboxState"
"","403","Verifies that user can's delete test suite with incorrect parameter 'Destination Id'","Full Tests","2026-07-25","passed","2026-07-25","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkDeleteTestSuiteWithNonExistingDestinationId"
"","44681","Verify that user can create a public project","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreatePublicProject"
"","2641","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
"","5070","Verifies that user can: create project with valid data, get created project, delete project","Full Tests","2026-07-25","passed","2026-07-25","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","checkCRUDProject"
"","363","Verifies that user can's update test suite with incorrect parameter 'Parent Id'","Full Tests","2026-07-25","passed","2026-07-25","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkUpdateTestSuiteWithIncorrectData"
"","44679","Verify that project cannot be created with empty required fields","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEmptyProject"
"","44405","Verify that project cannot be created without project name","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkProjectWithoutName"
"","1525","Verifies that user can: create, get, update and delete test case","Full Tests","2026-07-25","passed","2026-07-25","tests.api.CaseApiTest","API Tests","tests.api.CaseApiTest","checkCRUDTestCase"
"","614","Verifies that user can create project with only required fields","Full Tests","2026-07-25","passed","2026-07-25","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithRequiredFields"
"","42348","Verify that user can create a project without adding members","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProjectWithoutMembers"
"","44869","Verify that project cannot be created without project code","Full Tests","2026-07-25","failed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkProjectWithoutCode"
