"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Qase_01","0","Project","1","0","Create project with empty body","0"
"0","Qase_01","0","Project","1","0","Create project without required fields","0"
"3","","0","","0","0","","0"
"0","Qase_01","0","TestSuite","1","0","Update test suite with incorrect parameter 'Parent Id'","0"
"0","Qase_01","0","Project","1","0","CRUD operations on project with all fields","0"
"0","Qase_01","0","TestSuite","1","0","Create test suite without title","0"
"0","Qase_01","0","Project","1","0","Create project with only required fields","0"
"0","Qase_01","0","TestSuite","1","0","Get test suite by non-existent id","0"
"0","Qase_01","0","TestSuite","1","0","Delete test suite with incorrect parameter 'Destination Id''","0"
"0","Qase_01","0","TestSuite","1","0","CRUD operations on test suite with all fields","0"
"0","Qase_01","0","TestCase","1","0","CRUD operations on test case with all fields","0"
