"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6947","Verify that user can create a project without adding members","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithoutMembers"
"","175","Verifies that user can't get test suite by non-existent id","Full Tests","2026-07-26","passed","2026-07-26","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkGetTestSuiteByNonExistentId"
"","165","Verifies that user can't create project without required fields","Full Tests","2026-07-26","passed","2026-07-26","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithoutRequiredFields"
"","1","Verify that user can create a public project","Full Tests","2026-07-26","skipped","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreatePublicProject"
"","1","Verify that project is not created after clicking Cancel button","Full Tests","2026-07-26","skipped","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkProjectIsNotCreatedAfterCancel"
"","1","deleteProjectAfterTest","Full Tests","2026-07-26","failed","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","deleteProjectAfterTest"
"","1","Verify that project cannot be created with empty required fields","Full Tests","2026-07-26","skipped","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkEmptyProject"
"","185","Verifies that user can't create test suite without title","Full Tests","2026-07-26","passed","2026-07-26","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCreateTestSuiteWithoutTitle"
"","9180","Verify that project name, code and description can be fully updated","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithNewData"
"","179","Verifies that user can't create project with empty body","Full Tests","2026-07-26","passed","2026-07-26","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithEmptyBody"
"","629","Verifies that user can create project with only required fields","Full Tests","2026-07-26","passed","2026-07-26","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithRequiredFields"
"","7167","Verify that user can successfully create a project with all available fields","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithAllFields"
"","8641","Verify that .jpg logo can be uploaded","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUploadValidLogo"
"","8722","Verify that project cannot be updated without name","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithoutName"
"","1829","Verify that user can enable and disable Remember me checkbox","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRememberMeCheckboxState"
