"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8196","Verify that user can create a project with group access and selected group","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithGroupAccess"
"","296","Verifies that user can't create test suite without title","Full Tests","2026-07-26","passed","2026-07-26","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCreateTestSuiteWithoutTitle"
"","581","Verifies that user can's delete test suite with incorrect parameter 'Destination Id'","Full Tests","2026-07-26","passed","2026-07-26","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkDeleteTestSuiteWithNonExistingDestinationId"
"","42338","Verify that project cannot be created without project code","Full Tests","2026-07-26","failed","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkProjectWithoutCode"
"","1589","Verifies that user can: create, get, update and delete test suite","Full Tests","2026-07-26","passed","2026-07-26","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCRUDTestSuite"
"","7762","Verify that user can successfully create project with required fields only","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithRequiredFields"
"","1979","Verify that user can enable and disable Remember me checkbox","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRememberMeCheckboxState"
"","42571","Verify that project name, code and description can be fully updated","Full Tests","2026-07-26","failed","2026-07-26","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithNewData"
"","279","Verifies that user can't create project without required fields","Full Tests","2026-07-26","passed","2026-07-26","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithoutRequiredFields"
"","2076","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRequiredFieldsValidation"
"","2840","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-26","passed","2026-07-26","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginWithInvalidCredentials"
"","42532","Verify that txt file cannot be uploaded as project logo","Full Tests","2026-07-26","failed","2026-07-26","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUploadInvalidLogo"
