"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1535","Verifies that user can: create, get, update and delete test case","Full Tests","2026-07-28","passed","2026-07-28","tests.api.CaseApiTest","API Tests","tests.api.CaseApiTest","checkCRUDTestCase"
"","1020","Verifies that user can: create, get, update and delete test suite","Full Tests","2026-07-28","passed","2026-07-28","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCRUDTestSuite"
"","8709","Verify that .csv file can be uploaded","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkUploadValidImportFile"
"","42446","Verify that project cannot be updated without code","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithoutCode"
"","42449","Verify that user can create a project without adding members","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithoutMembers"
"","48592","Verify that .txt file cannot be uploaded as project logo","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUploadInvalidLogo"
"","1940","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRequiredFieldsValidation"
"","4635","Verifies that user can: create project with valid data, get created project, delete project","Full Tests","2026-07-28","passed","2026-07-28","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","checkCRUDProject"
"","48520","Verify that .jpg logo can be uploaded","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUploadValidLogo"
"","5003","Verify that project cannot be created with empty required fields","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkEmptyProject"
"","1","Verifies that user can't get test suite by non-existent id","Full Tests","2026-07-28","skipped","2026-07-28","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkGetTestSuiteByNonExistentId"
"","367","Verifies that user can's delete test suite with incorrect parameter 'Destination Id'","Full Tests","2026-07-28","passed","2026-07-28","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkDeleteTestSuiteWithNonExistingDestinationId"
"","1874","Verify that user can enable and disable Remember me checkbox","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRememberMeCheckboxState"
"","608","Verifies that user can create project with only required fields","Full Tests","2026-07-28","passed","2026-07-28","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithRequiredFields"
"","42219","Verify that user can successfully create project with required fields only","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithRequiredFields"
"","202","Verifies that user can't create test suite without title","Full Tests","2026-07-28","passed","2026-07-28","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCreateTestSuiteWithoutTitle"
"","1","Verifies that user can's update test suite with incorrect parameter 'Parent Id'","Full Tests","2026-07-28","skipped","2026-07-28","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkUpdateTestSuiteWithIncorrectData"
"","48661","Verify that project name, code and description can be fully updated","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithNewData"
