"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Qase_01","0","TestSuite","0","1","Get test suite by non-existent id","0"
"0","Qase_01","0","TestSuite","0","1","Update test suite with incorrect parameter 'Parent Id'","0"
"0","","2","","0","0","","0"
"0","Qase_01","1","Project","0","0","Create project with empty body","0"
"0","Qase_01","1","Project","0","0","CRUD operations on project with all fields","0"
"0","Qase_01","0","TestSuite","0","1","Create test suite without title","0"
"0","Qase_01","1","Project","0","0","Create project without required fields","0"
"0","Qase_01","0","TestSuite","0","1","CRUD operations on test suite with all fields","0"
"0","Qase_01","0","TestCase","0","1","CRUD operations on test case with all fields","0"
"0","Qase_01","1","Project","0","0","Create project with only required fields","0"
"0","Qase_01","0","TestSuite","0","1","Delete test suite with incorrect parameter 'Destination Id''","0"
