"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43367","Verify that project is not created after clicking Cancel button","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkProjectIsNotCreatedAfterCancel"
"","19255","Verify that user can successfully create a project with all available fields","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithAllFields"
"","358","Verifies that user can's delete test suite with incorrect parameter 'Destination Id'","Full Tests","2026-07-27","passed","2026-07-27","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkDeleteTestSuiteWithNonExistingDestinationId"
"","9652","Verify that suite is not created after clicking Cancel button","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkSuiteIsNotCreationAfterCancel"
"","43401","Verify that project cannot be created without project name","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkProjectWithoutName"
"","2569","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRequiredFieldsValidation"
"","42513","Verify that .csv file can be uploaded","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkUploadValidImportFile"
"","43489","Verify that .txt file cannot be uploaded as project logo","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUploadInvalidLogo"
"","43358","Verify that project cannot be updated without code","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithoutCode"
"","3854","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginWithInvalidCredentials"
"","2623","Verify that user can enable and disable Remember me checkbox","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRememberMeCheckboxState"
"","1166","Verifies that user can: create, get, update and delete test suite","Full Tests","2026-07-27","passed","2026-07-27","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCRUDTestSuite"
"","2479","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRequiredFieldsValidation"
"","195","Verifies that user can't create test suite without title","Full Tests","2026-07-27","passed","2026-07-27","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkCreateTestSuiteWithoutTitle"
"","11153","Verify that user can successfully create a project with all available fields","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkCreateSuiteWithAllField"
"","43524","Verify that project cannot be updated without name","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithoutName"
"","43469","Verify that project fields can be updated by appending 'Update'","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkAppendUpdateToProjectFields"
"","9082","Verify that user can create a public project","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreatePublicProject"
"","43371","Verify that project cannot be created without project code","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkProjectWithoutCode"
"","42349","Verify that .txt file cannot be uploaded","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkUploadInvalidImportFile"
"","42333","Verify that .jpg logo can be uploaded","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUploadValidLogo"
"","2451","Verify that validation messages are displayed when user submits login form with empty required fields","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkRequiredFieldsValidation"
"","43162","Verify that project name, code and description can be fully updated","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithNewData"
"","1820","Verifies that user can: create, get, update and delete test case","Full Tests","2026-07-27","passed","2026-07-27","tests.api.CaseApiTest","API Tests","tests.api.CaseApiTest","checkCRUDTestCase"
"","43718","Verify that project cannot be created when group access is selected without choosing a group","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkGroupAccessWithoutGroup"
"","43100","Verify that project cannot be created with empty required fields","Full Tests","2026-07-27","failed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkEmptyProject"
"","187","Verifies that user can't create project with empty body","Full Tests","2026-07-27","passed","2026-07-27","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithEmptyBody"
"","154","Verifies that user can't get test suite by non-existent id","Full Tests","2026-07-27","passed","2026-07-27","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkGetTestSuiteByNonExistentId"
"","340","Verifies that user can's update test suite with incorrect parameter 'Parent Id'","Full Tests","2026-07-27","passed","2026-07-27","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkUpdateTestSuiteWithIncorrectData"
"","655","Verifies that user can create project with only required fields","Full Tests","2026-07-27","passed","2026-07-27","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithRequiredFields"
"","8524","Verify that user can create a project without adding members","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithoutMembers"
"","4021","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginWithInvalidCredentials"
"","8748","Verify that user can successfully create project with required fields only","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithRequiredFields"
"","185","Verifies that user can't create project without required fields","Full Tests","2026-07-27","passed","2026-07-27","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithoutRequiredFields"
"","13920","Verify that user can successfully log in with valid credentials","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginSuccessful"
"","10954","Verify that user can create a project with group access and selected group","Full Tests","2026-07-27","passed","2026-07-27","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithGroupAccess"
"","5414","Verifies that user can: create project with valid data, get created project, delete project","Full Tests","2026-07-27","passed","2026-07-27","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","checkCRUDProject"
